pickup_ts,PULocationID,payment_type,trip_distance,fare_amount,tip_amount,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,anomaly
2024-01-01 00:39:03,236,1,1.1,7.9,0.0,12.9,5.42,12.18,7.18,0.0,False
2024-01-01 00:45:51,238,1,0.7,6.5,2.3,13.8,3.87,10.86,9.29,0.354,False
2024-01-01 00:50:46,142,4,1.1,8.6,0.0,13.6,6.67,9.9,7.82,0.0,False
2024-01-01 00:09:49,229,1,2.96,14.9,3.98,23.88,12.18,14.58,5.03,0.267,False
2024-01-01 00:36:44,186,1,1.2,16.3,4.26,25.56,17.93,4.01,13.58,0.261,False
2024-01-01 00:58:11,68,1,2.42,23.3,0.0,28.3,26.6,5.46,9.63,0.0,False
2024-01-01 00:24:41,113,1,5.28,31.0,7.2,43.2,29.33,10.8,5.87,0.232,False
2024-01-01 00:55:58,238,1,1.47,10.0,2.0,17.0,7.93,11.12,6.8,0.2,False
2024-01-01 00:19:36,239,1,2.41,14.2,3.84,23.04,12.35,11.71,5.89,0.27,False
2024-01-01 00:45:44,142,2,1.04,7.9,0.0,12.9,5.68,10.98,7.6,0.0,False
2024-01-01 00:55:21,163,1,2.41,17.7,4.54,27.24,16.93,8.54,7.34,0.256,False
2024-01-01 00:05:45,246,2,1.06,11.4,0.0,16.4,11.73,5.42,10.75,0.0,False
2024-01-01 00:18:38,234,1,0.83,8.6,3.4,17.0,7.52,6.63,10.36,0.395,False
2024-01-01 00:38:58,114,1,1.94,14.9,3.98,23.88,14.65,7.95,7.68,0.267,False
2024-01-01 00:58:18,79,1,2.23,14.2,2.0,21.2,13.55,9.87,6.37,0.141,False
2024-01-01 00:14:43,142,1,0.78,7.2,3.05,15.25,5.78,8.09,9.23,0.424,False
2024-01-01 00:22:44,239,1,2.02,14.2,3.0,22.2,12.32,9.84,7.03,0.211,False
2024-01-01 00:50:08,163,2,0.57,9.3,0.0,14.3,10.7,3.2,16.32,0.0,False
2024-01-01 00:36:26,148,1,11.48,47.8,10.56,63.36,31.95,21.56,4.16,0.221,False
2024-01-01 00:13:52,138,1,8.89,35.2,10.43,64.32,15.82,33.72,3.96,0.296,False
2024-01-01 00:40:01,232,1,5.27,38.0,8.6,51.6,38.42,8.23,7.21,0.226,False
2024-01-01 00:24:31,142,2,6.6,28.2,0.0,33.2,16.55,23.93,4.27,0.0,False
2024-01-01 00:09:29,140,2,3.91,19.1,0.0,24.1,15.22,15.42,4.88,0.0,False
2024-01-01 00:34:30,249,1,1.24,10.0,3.75,18.75,8.9,8.36,8.06,0.375,False
2024-01-01 00:45:26,79,1,5.35,34.5,6.08,45.58,37.83,8.48,6.45,0.176,False
2024-01-01 00:14:47,43,2,3.0,21.9,0.0,26.9,26.13,6.89,7.3,0.0,False
2024-01-01 00:47:51,246,1,3.8,27.5,7.9,47.34,33.22,6.86,7.24,0.287,False
2024-01-01 00:32:03,161,1,1.69,19.8,1.0,25.8,22.9,4.43,11.72,0.051,False
2024-01-01 00:38:04,143,1,0.7,6.5,2.0,13.5,4.82,8.72,9.29,0.308,False
2024-01-01 00:48:30,48,2,0.8,13.5,0.0,18.5,15.23,3.15,16.88,0.0,False
2024-01-01 00:18:51,249,1,2.14,14.9,5.97,25.87,14.2,9.04,6.96,0.401,False
2024-01-01 00:39:51,148,1,1.79,11.4,4.92,21.32,9.08,11.82,6.37,0.432,False
2024-01-01 00:57:24,148,1,1.2,10.7,2.36,18.06,9.48,7.59,8.92,0.221,False
2024-01-01 00:44:37,68,1,1.01,11.4,4.1,20.5,11.87,5.11,11.29,0.36,False
2024-01-01 00:39:47,237,1,2.21,18.4,4.68,28.08,20.62,6.43,8.33,0.254,False
2024-01-01 00:13:55,234,1,2.12,14.2,3.84,23.04,13.53,9.4,6.7,0.27,False
2024-01-01 00:33:00,148,1,3.6,19.8,4.96,29.76,18.9,11.43,5.5,0.251,False
2024-01-01 00:29:21,237,1,0.67,7.2,2.44,14.64,5.18,7.76,10.75,0.339,False
2024-01-01 00:36:09,236,1,2.88,27.5,6.5,39.0,32.12,5.38,9.55,0.236,False
2024-01-01 00:46:16,132,1,20.85,70.0,0.0,82.69,33.9,36.9,3.36,0.0,False
2024-01-01 00:14:52,239,1,0.55,5.1,1.52,11.62,2.77,11.93,9.27,0.298,False
2024-01-01 00:22:06,143,1,3.1,26.8,6.36,38.16,29.37,6.33,8.65,0.237,False
2024-01-01 00:27:23,43,1,1.0,9.3,5.0,19.3,8.05,7.45,9.3,0.538,False
2024-01-01 00:45:38,161,1,1.8,16.3,4.26,25.56,16.32,6.62,9.06,0.261,False
2024-01-01 00:21:22,234,2,1.88,20.5,0.0,25.5,24.07,4.69,10.9,0.0,False
2024-01-01 00:52:30,162,1,1.84,16.3,5.33,26.63,17.98,6.14,8.86,0.327,False
2024-01-01 00:08:48,246,1,0.05,3.0,0.08,8.08,0.75,4.0,60.0,0.027,False
2024-01-01 00:33:59,48,1,0.71,7.2,3.66,15.86,5.9,7.22,10.14,0.508,False
2024-01-01 00:27:13,170,1,0.2,4.4,0.0,9.4,2.63,4.56,22.0,0.0,False
2024-01-01 00:50:29,43,2,2.3,40.1,0.0,45.1,51.58,2.68,17.43,0.0,False
2024-01-01 00:54:24,233,1,9.5,44.3,9.85,59.15,34.48,16.53,4.66,0.222,False
2024-01-01 00:27:02,262,1,5.91,35.2,8.04,48.24,36.9,9.61,5.96,0.228,False
2024-01-01 00:21:00,68,1,1.51,21.2,4.74,28.44,25.28,3.58,14.04,0.224,False
2024-01-01 00:50:40,50,2,1.11,20.5,0.0,23.0,23.07,2.89,18.47,0.0,False
2024-01-01 00:07:59,137,1,1.52,9.3,2.86,17.16,6.63,13.75,6.12,0.308,False
2024-01-01 00:30:53,170,1,3.04,14.9,3.98,23.88,9.75,18.71,4.9,0.267,False
2024-01-01 00:20:39,79,1,2.1,12.8,0.0,17.8,12.85,9.81,6.1,0.0,False
2024-01-01 00:19:39,68,2,1.55,19.1,0.0,24.1,21.98,4.23,12.32,0.0,False
2024-01-01 00:42:43,50,1,2.0,10.7,3.14,18.84,8.1,14.81,5.35,0.293,False
2024-01-01 00:54:16,239,1,13.74,56.9,13.77,82.61,33.4,24.68,4.14,0.242,False
2024-01-01 00:13:58,148,1,4.2,21.9,5.38,32.28,19.68,12.8,5.21,0.246,False
2024-01-01 00:35:53,237,1,1.14,11.4,3.28,19.68,12.1,5.65,10.0,0.288,False
2024-01-01 00:50:28,132,1,20.34,80.0,2.0,86.25,48.18,25.33,3.93,0.025,False
2024-01-01 00:18:24,249,4,2.16,-13.5,0.0,-18.5,12.25,10.58,-6.25,0.0,True
2024-01-01 00:18:24,249,4,2.16,13.5,0.0,18.5,12.25,10.58,6.25,0.0,False
2024-01-01 00:39:59,148,1,2.88,15.6,5.15,25.75,14.25,12.13,5.42,0.33,False
2024-01-01 00:34:59,237,1,0.68,5.1,2.02,12.12,1.97,20.75,7.5,0.396,False
2024-01-01 00:47:21,238,1,1.13,7.9,2.58,15.48,4.62,14.69,6.99,0.327,False
2024-01-01 00:57:57,151,1,2.17,14.2,3.34,20.04,12.0,10.85,6.54,0.235,False
2024-01-01 00:06:53,68,2,2.41,15.6,0.0,20.6,13.77,10.5,6.47,0.0,False
2024-01-01 00:27:18,13,2,3.47,24.7,0.0,29.7,23.85,8.73,7.12,0.0,False
2024-01-01 00:36:55,90,1,1.23,9.3,2.86,17.16,8.02,9.21,7.56,0.308,False
2024-01-01 00:12:51,43,2,0.9,7.2,0.0,12.2,6.15,8.78,8.0,0.0,False
2024-01-01 00:22:21,229,1,0.9,7.2,2.4,14.6,5.12,10.55,8.0,0.333,False
2024-01-01 00:34:23,237,1,1.5,12.1,3.4,20.5,11.68,7.7,8.07,0.281,False
2024-01-01 00:36:46,66,1,6.2,32.4,4.5,39.4,30.0,12.4,5.23,0.139,False
2024-01-01 00:29:22,24,1,7.28,34.5,11.85,51.35,25.23,17.31,4.74,0.343,False
2024-01-01 00:56:42,79,2,0.78,7.2,0.0,12.2,5.0,9.36,9.23,0.0,False
2024-01-01 00:13:19,237,1,0.67,7.9,3.87,16.77,6.47,6.22,11.79,0.49,False
2024-01-01 00:34:33,237,1,0.77,6.5,1.72,13.22,4.18,11.04,8.44,0.265,False
2024-01-01 00:45:10,236,1,5.96,31.7,9.18,45.88,28.4,12.59,5.32,0.29,False
2024-01-01 00:12:51,144,1,4.35,32.4,7.48,44.88,35.23,7.41,7.45,0.231,False
2024-01-01 00:49:42,142,1,0.44,4.4,1.88,11.28,1.85,14.27,10.0,0.427,False
2024-01-01 00:53:36,239,1,5.68,28.9,8.47,42.37,25.97,13.12,5.09,0.293,False
2024-01-01 00:20:45,263,1,1.0,8.6,2.7,16.3,7.12,8.43,8.6,0.314,False
2024-01-01 00:34:00,43,1,2.9,21.2,3.93,30.13,22.82,7.63,7.31,0.185,False
2024-01-01 00:41:05,79,1,3.58,20.5,3.3,28.8,20.78,10.34,5.73,0.161,False
2024-01-01 00:15:42,143,1,1.3,10.0,0.0,15.0,7.82,9.98,7.69,0.0,False
2024-01-01 00:10:57,142,1,2.77,13.5,5.55,24.05,9.9,16.79,4.87,0.411,False
2024-01-01 00:39:46,239,1,1.17,8.6,2.72,16.32,6.03,11.64,7.35,0.316,False
2024-01-01 00:05:17,79,1,1.12,8.6,2.72,16.32,6.93,9.69,7.68,0.316,False
2024-01-01 00:17:19,79,1,1.39,12.8,5.34,23.14,13.37,6.24,9.21,0.417,False
2024-01-01 00:36:06,90,1,1.31,12.8,3.56,21.36,13.53,5.81,9.77,0.278,False
2024-01-01 00:18:52,238,1,0.75,5.8,1.08,11.88,3.03,14.84,7.73,0.186,False
2024-01-01 00:26:47,239,1,1.02,7.2,2.0,14.2,4.25,14.4,7.06,0.278,False
2024-01-01 00:32:54,151,1,1.54,10.7,3.14,18.84,9.22,10.03,6.95,0.293,False
2024-01-01 00:43:00,143,1,0.62,5.8,2.0,12.8,3.22,11.56,9.35,0.345,False
2024-01-01 00:47:48,239,1,4.14,31.7,7.34,44.04,35.0,7.1,7.66,0.232,False
2024-01-01 00:22:31,229,1,2.35,13.5,4.62,23.12,11.35,12.42,5.74,0.342,False
2024-01-01 00:49:19,90,1,0.53,5.8,2.16,12.96,4.25,7.48,10.94,0.372,False
2024-01-01 00:06:29,132,2,16.4,70.0,0.0,82.69,24.95,39.44,4.27,0.0,False
2024-01-01 00:37:25,170,1,3.05,24.7,5.94,35.64,27.35,6.69,8.1,0.24,False
2024-01-01 00:12:22,229,1,0.95,8.6,2.72,16.32,7.85,7.26,9.05,0.316,False
2024-01-01 00:22:57,163,1,4.72,35.2,0.0,40.2,40.08,7.07,7.46,0.0,False
2024-01-01 00:30:09,170,1,4.47,27.5,6.5,39.0,28.3,9.48,6.15,0.236,False
2024-01-01 00:24:33,163,1,1.16,12.8,4.45,22.25,13.52,5.15,11.03,0.348,False
2024-01-01 00:48:29,229,2,1.91,11.4,0.0,16.4,9.4,12.19,5.97,0.0,False
2024-01-01 00:21:23,163,1,6.4,29.6,2.0,36.6,19.55,19.64,4.62,0.068,False
2024-01-01 00:45:20,88,1,8.2,38.7,5.0,48.7,31.33,15.7,4.72,0.129,False
2024-01-01 00:58:52,162,1,2.8,18.4,5.0,28.4,24.32,6.91,6.57,0.272,False
2024-01-01 00:22:29,249,1,3.71,21.2,5.24,31.44,19.47,11.43,5.71,0.247,False
2024-01-01 00:57:39,148,1,2.4,17.0,4.4,26.4,17.53,8.21,7.08,0.259,False
2024-01-01 00:14:59,246,1,3.86,33.1,7.62,45.72,40.83,5.67,8.58,0.23,False
2024-01-01 00:09:01,263,1,1.9,10.7,3.1,18.8,8.45,13.49,5.63,0.29,False
2024-01-01 00:32:29,263,1,0.6,5.8,2.15,12.95,3.4,10.59,9.67,0.371,False
2024-01-01 00:58:53,263,1,1.9,11.4,3.25,19.65,9.72,11.73,6.0,0.285,False
2024-01-01 00:28:08,163,1,2.54,12.8,3.56,21.36,8.78,17.35,5.04,0.278,False
2024-01-01 00:40:25,263,1,1.11,7.2,2.44,14.64,3.7,18.0,6.49,0.339,False
2024-01-01 00:47:15,237,1,2.25,12.8,5.34,23.14,9.43,14.31,5.69,0.417,False
2024-01-01 00:12:53,238,1,1.02,7.2,3.05,15.25,4.4,13.91,7.06,0.424,False
2024-01-01 00:18:20,24,2,2.94,15.6,0.0,18.1,19.82,8.9,5.31,0.0,False
2024-01-01 00:40:53,166,2,2.56,14.2,0.0,16.7,14.92,10.3,5.55,0.0,False
2024-01-01 00:12:11,88,2,0.86,10.0,0.0,15.0,9.78,5.27,11.63,0.0,False
2024-01-01 00:33:15,261,1,4.31,35.2,1.0,41.2,39.1,6.61,8.17,0.028,False
2024-01-01 00:34:30,141,1,3.06,17.7,4.54,27.24,17.32,10.6,5.78,0.256,False
2024-01-01 00:58:24,239,1,2.18,14.9,3.98,23.88,15.07,8.68,6.83,0.267,False
2024-01-01 00:24:05,236,1,1.6,8.6,2.7,16.3,6.08,15.78,5.37,0.314,False
2024-01-01 00:09:19,140,1,1.23,11.4,4.1,20.5,12.0,6.15,9.27,0.36,False
2024-01-01 00:36:56,234,1,2.44,18.4,4.0,27.4,19.82,7.39,7.54,0.217,False
2024-01-01 00:11:36,142,1,2.2,17.7,6.8,29.5,17.42,7.58,8.05,0.384,False
2024-01-01 00:36:08,237,1,1.6,18.4,4.65,28.05,20.67,4.65,11.5,0.253,False
2024-01-01 00:10:14,263,1,1.07,7.2,0.0,12.2,3.75,17.12,6.73,0.0,False
2024-01-01 00:35:05,162,2,1.36,15.6,0.0,20.6,18.23,4.48,11.47,0.0,False
2024-01-01 00:54:57,43,1,2.22,13.5,3.7,22.2,11.45,11.63,6.08,0.274,False
2024-01-01 00:42:29,137,2,4.63,28.2,0.0,33.2,28.42,9.78,6.09,0.0,False
2024-01-01 00:12:59,151,2,2.21,14.2,0.0,19.2,12.18,10.88,6.43,0.0,False
2024-01-01 00:30:23,236,1,0.55,5.1,1.52,11.62,2.2,15.0,9.27,0.298,False
2024-01-01 00:33:43,75,1,1.14,8.6,2.72,16.32,6.8,10.06,7.54,0.316,False
2024-01-01 00:41:36,263,1,5.79,27.5,6.5,39.0,20.17,17.23,4.75,0.236,False
2024-01-01 00:12:55,237,1,6.8,30.3,10.0,45.3,18.75,21.76,4.46,0.33,False
2024-01-01 00:16:21,70,2,23.0,125.5,0.0,134.75,30.25,45.62,5.46,0.0,False
2024-01-01 00:28:57,164,2,11.1,49.2,0.0,54.2,38.28,17.4,4.43,0.0,False
2024-01-01 00:07:36,236,1,2.52,19.1,6.03,30.13,20.78,7.28,7.58,0.316,False
2024-01-01 00:36:03,79,1,5.25,28.2,6.64,39.84,23.45,13.43,5.37,0.235,False
2024-01-01 00:37:29,237,1,0.8,6.5,2.85,14.35,3.68,13.03,8.12,0.438,False
2024-01-01 00:52:13,43,1,1.2,7.9,1.0,13.9,4.32,16.68,6.58,0.127,False
2024-01-01 00:24:02,234,1,3.88,21.2,6.55,32.75,19.15,12.16,5.46,0.309,False
2024-01-01 00:53:48,161,1,0.39,5.1,1.0,11.1,2.92,8.02,13.08,0.196,False
2024-01-01 00:03:21,68,1,2.96,23.3,7.08,35.38,24.5,7.25,7.87,0.304,False
2024-01-01 00:30:11,142,1,1.68,13.5,2.0,20.5,13.48,7.48,8.04,0.148,False
2024-01-01 00:49:49,262,1,2.45,13.5,2.78,21.28,10.07,14.6,5.51,0.206,False
2024-01-01 00:43:03,68,1,3.84,24.0,5.8,34.8,24.7,9.33,6.25,0.242,False
2024-01-01 00:41:14,229,1,1.0,8.6,2.0,15.6,9.8,6.12,8.6,0.233,False
2024-01-01 00:43:51,161,1,1.5,25.4,6.05,36.45,30.88,2.91,16.93,0.238,False
2024-01-01 00:24:50,43,1,0.9,7.2,2.45,14.65,7.23,7.47,8.0,0.34,False
2024-01-01 00:33:09,262,1,3.3,14.9,4.0,23.9,8.9,22.25,4.52,0.268,False
2024-01-01 00:45:07,107,2,2.5,17.0,0.0,22.0,21.2,7.08,6.8,0.0,False
2024-01-01 00:39:01,158,1,1.3,12.8,2.0,19.8,13.52,5.77,9.85,0.156,False
2024-01-01 00:55:18,79,1,2.27,18.4,4.68,28.08,18.52,7.36,8.11,0.254,False
2024-01-01 00:50:05,239,1,4.41,31.7,7.34,44.04,35.1,7.54,7.19,0.232,False
2024-01-01 00:21:01,263,2,4.1,21.2,0.0,26.2,18.8,13.09,5.17,0.0,False
2024-01-01 00:43:28,161,1,1.6,13.5,2.0,20.5,13.28,7.23,8.44,0.148,False
2024-01-01 00:08:41,148,1,1.0,7.9,3.85,16.75,7.28,8.24,7.9,0.487,False
2024-01-01 00:33:18,148,1,0.6,6.5,3.4,14.9,5.35,6.73,10.83,0.523,False
2024-01-01 00:41:15,114,2,0.8,6.5,0.0,11.5,3.77,12.74,8.12,0.0,False
2024-01-01 00:58:14,114,1,1.4,9.3,3.55,17.85,7.98,10.52,6.64,0.382,False
2024-01-01 00:55:31,132,2,18.42,68.1,0.0,79.29,25.73,42.95,3.7,0.0,False
2024-01-01 00:10:30,246,2,2.8,17.0,0.0,22.0,15.63,10.75,6.07,0.0,False
2024-01-01 00:34:48,79,2,0.4,4.4,0.0,9.4,1.97,12.2,11.0,0.0,False
2024-01-01 00:38:48,79,2,3.2,19.1,0.0,24.1,15.18,12.65,5.97,0.0,False
2024-01-01 00:05:09,148,1,5.0,33.8,9.7,48.5,35.52,8.45,6.76,0.287,False
2024-01-01 00:44:00,142,1,0.7,5.8,2.16,12.96,3.0,14.0,8.29,0.372,False
2024-01-01 00:50:09,239,1,1.5,10.7,3.14,18.84,8.9,10.11,7.13,0.293,False
2024-01-01 00:02:42,249,1,5.8,31.7,7.35,44.05,30.28,11.49,5.47,0.232,False
2024-01-01 00:39:32,162,1,2.01,11.4,3.28,19.68,7.9,15.27,5.67,0.288,False
2024-01-01 00:50:02,263,1,5.53,24.7,3.0,30.2,13.3,24.95,4.47,0.121,False
2024-01-01 00:06:26,163,1,2.6,14.2,4.8,24.0,12.62,12.36,5.46,0.338,False
2024-01-01 00:24:05,263,1,1.7,13.5,3.7,22.2,14.62,6.98,7.94,0.274,False
2024-01-01 00:42:02,161,2,1.4,17.7,0.0,22.7,25.25,3.33,12.64,0.0,False
2024-01-01 00:10:19,263,1,1.92,13.5,3.7,22.2,12.65,9.11,7.03,0.274,False
2024-01-01 00:43:21,43,2,1.31,12.1,0.0,17.1,11.02,7.13,9.24,0.0,False
2024-01-01 00:08:23,236,1,2.3,14.2,3.8,23.0,12.72,10.85,6.17,0.268,False
2024-01-01 00:26:02,42,1,2.3,3.0,10.0,15.5,0.32,435.79,1.3,3.333,True
2024-01-01 00:17:13,234,2,2.1,14.2,0.0,19.2,14.13,8.92,6.76,0.0,False
2024-01-01 00:39:45,229,1,2.9,28.2,6.6,39.8,33.78,5.15,9.72,0.234,False
2024-01-01 00:26:37,114,1,10.1,49.9,10.98,65.88,43.82,13.83,4.94,0.22,False
2024-01-01 00:27:39,142,2,1.46,17.0,0.0,22.0,19.72,4.44,11.64,0.0,False
2024-01-01 00:50:05,48,2,4.08,31.0,0.0,36.0,35.07,6.98,7.6,0.0,False
2024-01-01 00:20:55,142,1,1.26,8.6,2.72,16.32,6.05,12.5,6.83,0.316,False
2024-01-01 00:28:21,163,1,1.78,12.1,3.42,20.52,11.58,9.22,6.8,0.283,False
2024-01-01 00:33:08,132,1,20.59,70.0,20.67,103.36,26.78,46.13,3.4,0.295,False
2024-01-01 00:14:12,170,1,2.45,14.9,3.98,23.88,14.62,10.06,6.08,0.267,False
2024-01-01 00:31:07,148,1,2.56,17.7,4.54,27.24,16.17,9.5,6.91,0.256,False
2024-01-01 00:52:50,256,2,1.52,7.9,0.0,12.9,5.5,16.58,5.2,0.0,False
2024-01-01 00:39:00,107,2,2.25,19.1,0.0,24.1,20.6,6.55,8.49,0.0,False
2024-01-01 00:20:19,234,1,5.4,28.9,10.15,44.05,26.82,12.08,5.35,0.351,False
2024-01-01 00:28:47,164,1,1.58,11.4,3.28,19.68,10.58,8.96,7.22,0.288,False
2024-01-01 00:40:24,113,1,2.23,12.8,0.89,18.69,10.53,12.7,5.74,0.07,False
2024-01-01 00:22:00,186,1,3.5,36.6,8.3,49.9,44.58,4.71,10.46,0.227,False
2024-01-01 00:09:11,209,1,5.86,24.7,5.94,35.64,12.03,29.22,4.22,0.24,False
2024-01-01 00:24:59,162,1,3.96,24.7,5.94,35.64,24.12,9.85,6.24,0.24,False
2024-01-01 00:55:04,50,1,2.16,17.0,4.4,26.4,16.6,7.81,7.87,0.259,False
2024-01-01 00:15:50,170,2,3.05,14.9,0.0,19.9,11.6,15.78,4.89,0.0,False
2024-01-01 00:06:05,239,1,5.9,29.6,5.0,39.6,25.9,13.67,5.02,0.169,False
2024-01-01 00:38:11,231,1,6.9,54.1,8.87,67.97,60.88,6.8,7.84,0.164,False
2024-01-01 00:21:09,236,1,1.3,8.6,2.72,16.32,5.73,13.6,6.62,0.316,False
2024-01-01 00:42:27,236,1,6.1,28.9,3.0,36.9,20.47,17.88,4.74,0.104,False
2024-01-01 00:22:51,138,1,8.21,33.8,10.32,53.37,19.0,25.93,4.12,0.305,False
2024-01-01 00:42:42,234,1,10.51,44.3,0.0,56.24,26.13,24.13,4.22,0.0,False
2024-01-01 00:19:45,237,1,1.09,7.9,3.87,16.77,5.23,12.5,7.25,0.49,False
2024-01-01 00:38:04,236,1,1.72,13.5,2.0,20.5,12.65,8.16,7.85,0.148,False
2024-01-01 00:54:32,229,1,0.94,7.9,0.0,12.9,6.27,9.0,8.4,0.0,False
2024-01-01 00:23:45,234,2,5.94,28.2,0.0,33.2,21.85,16.31,4.75,0.0,False
2024-01-01 00:47:25,75,2,6.37,26.8,0.0,29.3,15.53,24.61,4.21,0.0,False
2024-01-01 00:42:07,161,1,3.24,21.2,2.0,28.2,21.37,9.1,6.54,0.094,False
2024-01-01 00:14:11,43,1,3.0,17.0,20.0,42.0,17.38,10.35,5.67,1.176,False
2023-12-31 23:56:46,236,1,2.38,15.6,1.0,21.6,15.33,9.31,6.55,0.064,False
2024-01-01 00:16:55,142,1,2.67,16.3,4.26,25.56,15.78,10.15,6.1,0.261,False
2024-01-01 00:45:26,141,1,3.59,31.7,3.33,40.03,39.37,5.47,8.83,0.105,False
2024-01-01 00:29:15,90,1,5.0,40.1,9.0,54.1,41.45,7.24,8.02,0.224,False
2024-01-01 00:35:35,114,1,1.8,12.8,1.0,18.8,11.67,9.26,7.11,0.078,False
2024-01-01 00:49:42,87,1,2.9,14.9,5.0,24.9,8.65,20.12,5.14,0.336,False
2024-01-01 00:19:44,238,1,1.58,8.6,2.72,16.32,6.05,15.67,5.44,0.316,False
2024-01-01 00:31:28,151,1,2.93,17.7,5.0,27.7,15.15,11.6,6.04,0.282,False
2024-01-01 00:49:34,262,1,1.76,10.0,3.0,18.0,7.78,13.57,5.68,0.3,False
2024-01-01 00:20:41,246,1,2.45,17.0,0.0,22.0,16.93,8.68,6.94,0.0,False
2024-01-01 00:40:46,79,1,1.16,7.2,3.66,15.86,4.45,15.64,6.21,0.508,False
2024-01-01 00:50:32,164,1,0.54,5.8,1.0,11.8,4.45,7.28,10.74,0.172,False
2024-01-01 00:56:45,107,1,0.69,5.1,2.02,12.12,2.52,16.45,7.39,0.396,False
2024-01-01 00:12:36,236,1,0.9,7.2,2.4,14.6,4.9,11.02,8.0,0.333,False
2024-01-01 00:23:53,238,1,1.1,9.3,5.0,19.3,7.0,9.43,8.45,0.538,False
2024-01-01 00:39:50,236,1,1.1,8.6,2.45,16.05,6.1,10.82,7.82,0.285,False
2024-01-01 00:52:03,141,1,0.7,6.5,1.72,13.22,4.23,9.92,9.29,0.265,False
2024-01-01 00:57:13,262,1,1.1,7.9,2.55,15.45,4.43,14.89,7.18,0.323,False
2024-01-01 00:07:35,132,2,9.91,42.9,0.0,47.15,27.57,21.57,4.33,0.0,False
2024-01-01 00:54:03,79,1,3.93,21.2,5.24,31.44,18.98,12.42,5.39,0.247,False
2024-01-01 00:27:57,237,1,0.56,5.1,2.02,12.12,2.55,13.18,9.11,0.396,False
